A;Augsburg;Bayern
AA;Aalen Ostalbkreis;Baden-Württemberg
AB;Aschaffenburg;Bayern
ABG;Altenburg;Thüringen
AC;Aachen;Nordrhein-Westfalen
AE;Auerbach;Sachsen
AIC;Aichach-Friedberg;Bayern
AK;Altenkirchen/Westerwald;Rheinland-Pfalz
AM;Amberg;Bayern
AN;Ansbach;Bayern
ANA;Annaberg;Sachsen
ANG;Angermünde;Brandenburg
ANK;Anklam;Mecklenburg-Vorpommern
AOE;Altötting;Bayern
APD;Apolda;Thüringen
ARN;Arnstadt;Thüringen
ART;Artern;Thüringen
AS;Amberg-Sulzbach;Bayern
ASL;Aschersleben;Sachsen-Anhalt
AT;Altentreptow;Mecklenburg-Vorpommern
AU;Aue;Sachsen
AUR;Aurich;Niedersachsen
AW;Bad Neuenahr-Ahrweiler;Rheinland-Pfalz
AZ;Alzey-Worms;Rheinland-Pfalz
B;Berlin;Berlin
BA;Bamberg;Bayern
BAD;Baden-Baden;Baden-Württemberg
BAR;Barnim;Brandenburg
BB;Böblingen;Baden-Württemberg
BBG;Bernburg;Sachsen-Anhalt
BC;Biberach/Riss;Baden-Württemberg
BED;Brand-Erbisdorf;Sachsen
BEL;Belzig;Brandenburg
BER;Bernau bei Berlin;Brandenburg
BGL;Berchtesgadener Land;Bayern
BI;Bielefeld;Nordrhein-Westfalen
BIR;Birkenfeld/Nahe und Idar-Oberstein;Rheinland-Pfalz
BIT;Bitburg-Prüm;Rheinland-Pfalz
BIW;Bischofswerda;Sachsen
BL;Zollernalbkreis in Balingen;Baden-Württemberg
BM;Erftkreis in Bergheim;Nordrhein-Westfalen
BN;Bonn;Nordrhein-Westfalen
BNA;Borna;Sachsen
BO;Bochum;Nordrhein-Westfalen
BOR;Borken in Ahaus;Nordrhein-Westfalen
BOT;Bottrop;Nordrhein-Westfalen
BRA;Wesermarsch in Brake;Niedersachsen
BRB;Brandenburg;Brandenburg
BRG;Burg;Sachsen-Anhalt
BS;Braunschweig;Niedersachsen
BSK;Beeskow;Brandenburg
BT;Bayreuth;Bayern
BTF;Bitterfeld;Sachsen-Anhalt
BÜS;Büsingen am Hochrhein;Baden-Württemberg
BÜZ;Bützow;Mecklenburg-Vorpommern
BW;Bundes-Wasser- und Schiffahrtsverwaltung;
BWL;Baden-Württemberg Landesregierung und Landtag;
BYL;Bayern Landesregierung und Landtag;
BZ;Bautzen;Sachsen
C;Chemnitz;Sachsen
CA;Calau;Brandenburg
CB;Cottbus;Brandenburg
CE;Celle;Niedersachsen
CHA;Cham/Oberpfalz;Bayern
CLP;Cloppenburg;Niedersachsen
CO;Coburg;Bayern
COC;Cochem-Zell/Mosel;Rheinland-Pfalz
COE;Cösfeld/Westfalen;Nordrhein-Westfalen
CUX;Cuxhaven;Niedersachsen
CW;Calw;Baden-Württemberg
D;Düsseldorf;Nordrhein-Westfalen
DA;Darmstadt;Hessen
DAH;Dachau;Bayern
DAN;Lüchow-Dannenberg;Niedersachsen
DAU;Daun (Eifel);Rheinland-Pfalz
DB;Deutsche Bundesbahn;
DBR;Bad Doberan;Mecklenburg-Vorpommern
DD;Dresden;Sachsen
DE;Dessau;Sachsen-Anhalt
DEG;Deggendorf;Bayern
DEL;Delmenhorst;Niedersachsen
DGF;Dingolfing-Landau;Bayern
DH;Diepholz;Niedersachsen
DL;Döbeln;Sachsen
DLG;Dillingen/Donau;Bayern
DM;Demmin;Mecklenburg-Vorpommern
DN;Düren;Nordrhein-Westfalen
DO;Dortmund;Nordrhein-Westfalen
DON;Donau-Ries in Donauwörth;Bayern
DS;Dahme-Spreewald;Brandenburg
DU;Duisburg;Nordrhein-Westfalen
DÜW;Bad Dürkheim in Neustadt/Weinstrasse;Rheinland-Pfalz
DW;Dippoldiswalde;Sachsen
DZ;Delitzsch;Sachsen
E;Essen;Nordrhein-Westfalen
EB;Eilenburg;Sachsen
EBE;Ebersberg;Sachsen
ED;Erding;Bayern
EE;Elbe-Elster;Brandenburg
EF;Erfurt;Thüringen
EH;Eisenhüttenstadt;Brandenburg
EI;Eichstätt;Bayern
EIL;Eisleben;Sachsen-Anhalt
EIS;Eisenberg;Thüringen
EL;Emsland in Meppen;Niedersachsen
EM;Emmendingen;Baden-Württemberg
EMD;Emden;Niedersachsen
EMS;Rhein-Lahn-Kreis in Bad Ems;Rheinland-Pfalz
EN;Ennepe-Ruhr-Kreis in Schwelm;Nordrhein-Westfalen
ER;Erlangen/Stadt;Bayern
ERB;Odenwaldkreis in Erbach;Hessen
ERH;Erlangen-Höchstadt;Bayern
ES;Esslingen/Neckar;Baden-Württemberg
ESA;Eisenach;Thüringen
ESW;Werra-Meissner-Kreis in Eschwege;Hessen
EU;Euskirchen;Nordrhein-Westfalen
EW;Eberswalde;Brandenburg
F;Frankfurt/Main;Hessen
FB;Wetteraukreis in Friedberg;Hessen
FD;Fulda;Hessen
FDS;Freudenstadt;Baden-Württemberg
FF;Frankfurt/Oder;Brandenburg
FFB;Fürstenfeldbruck;Bayern
FG;Freiberg/Sachsen;Sachsen
FI;Finsterwalde;Brandenburg
FL;Flensburg;Schleswig-Holstein
FLÖ;Flöha;Sachsen
FN;Bodenseekreis in Friedrichshafen;Baden-Württemberg
FO;Forchheim;Bayern
FOR;Forst;Brandenburg
FR;Freiburg/Breisgau;Baden-Württemberg
FRG;Freyung-Grafenau;Bayern
FRI;Friesland in Jever;Niedersachsen
FRW;Bad Freienwalde;Brandenburg
FS;Freising;Bayern
FT;Frankenthal/Pfalz;Rheinland-Pfalz
FTL;Freital;Sachsen
FÜ;Fürth;Bayern
FW;Fürstenwalde;Brandenburg
G;Gera;Thüringen
GA;Gardelegen;Sachsen-Anhalt
GAP;Garmisch-Partenkirchen;Bayern
GC;Glauchau;Sachsen
GDB;Gadebusch;Mecklenburg-Vorpommern
GE;Gelsenkirchen;Nordrhein-Westfalen
GER;Germersheim;Rheinland-Pfalz
GF;Gifhorn;Niedersachsen
GG;Gross-Gerau;Hessen
GHA;Geithain;Sachsen
GHC;Gräfenhainichen;Sachsen-Anhalt
GI;Giessen;Hessen
GL;Rheinisch-Bergischer Kreis in Bergisch Gladbach;Nordrhein-Westfalen
GM;Oberbergischer Kreis in Gummersbach;Nordrhein-Westfalen
GMN;Grimmen;Mecklenburg-Vorpommern
GNT;Genthin;Sachsen-Anhalt
GÖ;Göttingen;Niedersachsen
GP;Göppingen;Baden-Württemberg
GR;Görlitz;Sachsen
GRH;Grossenhain;Sachsen
GRM;Grimma;Sachsen
GRS;Gransee;Brandenburg
GRZ;Greiz;Thüringen
GS;Goslar;Niedersachsen
GT;Gütersloh in Rheda-Wiedenbrück;Nordrhein-Westfalen
GTH;Gotha;Thüringen
GÜ;Güstrow;Mecklenburg-Vorpommern
GUB;Guben;Brandenburg
GVM;Grevesmühlen;Mecklenburg-Vorpommern
GW;Greifswald/Landkreis;Mecklenburg-Vorpommern
GZ;Günzburg;Bayern
H;Hannover;Niedersachsen
HA;Hagen/Westfalen;Nordrhein-Westfalen
HAL;Halle/Saale;Sachsen-Anhalt
HAM;Hamm/Westfalen;Nordrhein-Westfalen
HAS;Hassberge in Hassfurt;Bayern
HB;Hansestadt Bremen und Bremerhaven;Bremen
HBN;Hildburghausen;Thüringen
HBS;Halberstadt;Sachsen-Anhalt
HC;Hainichen;Sachsen
HD;Rhein-Neckar-Kreis und Heidelberg;Baden-Württemberg
HDH;Heidenheim/Brenz;Baden-Württemberg
HDL;Haldensleben;Sachsen-Anhalt
HE;Helmstedt;Niedersachsen
HEF;Bad Hersfeld-Rotenburg;Hessen
HEI;Dithmarschen in Heide/Holstein;Schleswig-Holstein
HER;Herne;Nordrhein-Westfalen
HET;Hettstedt;Sachsen-Anhalt
HF;Herford in Kirchlengern;Nordrhein-Westfalen
HG;Hochtaunuskreis in Bad Homburg v.d.H.;Hessen
HGN;Hagenow;Mecklenburg-Vorpommern
HGW;Hansestadt Greifswald;Mecklenburg-Vorpommern
HH;Hansestadt Hamburg;Hamburg
HHM;Hohenmölsen;Sachsen-Anhalt
HI;Hildesheim;Niedersachsen
HIG;Heiligenstadt;Thüringen
HL;Hansestadt Lübeck;Schleswig-Holstein
HM;Hameln-Pyrmont;Niedersachsen
HN;Heilbronn/Neckar;Baden-Württemberg
HO;Hof;Bayern
HOL;Holzminden;Niedersachsen
HOM;Saar-Pfalz-Kreis in Homburg/Saar;Saarland
HOT;Hohenstein-Ernstthal;Sachsen
HP;Bergstrasse in Heppenheim;Hessen
HR;Schwalm-Eder-Kreis in Homberg;Hessen
HRO;Hansestadt Rostock;Mecklenburg-Vorpommern
HS;Heinsberg;Nordrhein-Westfalen
HSK;Hochsauerlandkreis in Meschede;Nordrhein-Westfalen
HST;Hansestadt Stralsund;Mecklenburg-Vorpommern
HU;Hanau;Hessen
HV;Havelberg;Sachsen-Anhalt
HVL;Havelland;Brandenburg
HWI;Hansestadt Wismar;Mecklenburg-Vorpommern
HX;Höxter;Nordrhein-Westfalen
HY;Hoyerswerda;Sachsen
HZ;Herzberg;Brandenburg
IGB;St. Ingbert;Saarland
IL;Ilmenau;Thüringen
IN;Ingolstadt/Donau;Bayern
IZ;Itzehoe;Schleswig-Holstein
J;Jena;Thüringen
JB;Joeterbog;Brandenburg
JE;Jessen;Sachsen-Anhalt
K;Köln;Nordrhein-Westfalen
KA;Karlsruhe;Baden-Württemberg
KB;Waldeck-Frankenberg in Korbach;Hessen
KC;Kronach;Bayern
KE;Kempten/Allgäu;Bayern
KEH;Kelheim;Bayern
KF;Kaufbeuren;Bayern
KG;Bad Kissingen;Bayern
KH;Bad Kreuznach;Rheinland-Pfalz
KI;Kiel;Schleswig-Holstein
KIB;Donnersberg-Kreis in Kirchheimbolanden;Rheinland-Pfalz
KL;Kaiserslautern;Rheinland-Pfalz
KLE;Kleve;Nordrhein-Westfalen
KLZ;Klötze;Sachsen-Anhalt
KM;Kamenz;Sachsen
KN;Konstanz;Baden-Württemberg
KO;Koblenz;Rheinland-Pfalz
KÖT;Köthen;Sachsen-Anhalt
KR;Krefeld;Nordrhein-Westfalen
KS;Kassel;Hessen
KT;Kitzingen;Bayern
KU;Kulmbach;Bayern
KÜN;Hohenlohe-Kreis in Künzelsau;Baden-Württemberg
KUS;Kusel;Rheinland-Pfalz
KW;Königs-Wusterhausen;Brandenburg
KY;Kyritz;Brandenburg
L;Leipzig;Sachsen
LA;Landshut;Bayern
LAU;Nürnberger Land in Lauf/Pegnitz;Bayern
LB;Ludwigsburg;Baden-Württemberg
LBS;Lobenstein;Thüringen
LBZ;Lübz;Mecklenburg-Vorpommern
LC;Luckau;Sachsen
LD;Landau/Pfalz;Rheinland-Pfalz
LDK;Lahn-Dill-Kreis in Wetzlar;Hessen
LER;Leer/Ostfriesland;Niedersachsen
LEV;Leverkusen;Nordrhein-Westfalen
LG;Lüneburg;Niedersachsen
LI;Lindau/Bodensee;Bayern
LIB;Bad Liebenwerda;Brandenburg
LIF;Lichtenfels;Bayern
LIP;Lippe in Detmold;Nordrhein-Westfalen
LL;Landsberg/Lech;Bayern
LM;Limburg-Weilburg/Lahn;Hessen
LN;Lübben;Brandenburg
LÖ;Lörrach;Baden-Württemberg
LÖB;Löbau;Sachsen
LOS;Oder-Spree;Brandenburg
LSA;Sachsen-Anhalt Landesregierung und Landtag;
LSN;Sachsen Landesregierung und Landtag;
LSZ;Bad Langensalza;Thüringen
LU;Ludwigshafen/Rhein;Rheinland-Pfalz
LUK;Luckenwalde;Brandenburg
LWL;Ludwigslust;Mecklenburg-Vorpommern
M;München;Bayern
MA;Mannheim;Baden-Württemberg
MAB;Marienberg;Sachsen
MB;Miesbach;Bayern
MC;Malchin;Mecklenburg-Vorpommern
MD;Magdeburg;Sachsen-Anhalt
ME;Mettmann;Nordrhein-Westfalen
MEI;Meissen;Sachsen
MER;Merseburg;Sachsen-Anhalt
MG;Mönchengladbach;Nordrhein-Westfalen
MGN;Meiningen;Thüringen
MH;Mülheim/Ruhr;Nordrhein-Westfalen
MHL;Mühlhausen;Thüringen
MI;Minden-Lübbecke/Westfalen;Nordrhein-Westfalen
MIL;Miltenberg;Bayern
MK;Märkischer Kreis in Lüdenscheid;Nordrhein-Westfalen
MM;Memmingen;Bayern
MN;Unterallgäu in Mindelheim;Bayern
MOL;Märkisch-Oderland;Brandenburg
MOS;Neckar-Odenwald-Kreis in Mosbach;Baden-Württemberg
MR;Marburg-Biedenkopf/Lahn;Hessen
MS;Münster/Westfalen;Nordrhein-Westfalen
MSP;Main-Spessart-Kreis in Karlstadt;Bayern
MTK;Main-Taunus-Kreis in Hofheim;Hessen
MÜ;Mühldorf am Inn;Bayern
MVL;Mecklenburg-Vorpommern Landesregierung und Landtag;
MYK;Mayen-Koblenz;Rheinland-Pfalz
MZ;Mainz-Bingen und Mainz;Rheinland-Pfalz
MZG;Merzig-Wadern;Saarland
N;Nürnberg;Bayern
NAU;Nauen;Brandenburg
NB;Neubrandenburg;Mecklenburg-Vorpommern
ND;Neuburg-Schrobenhausen/Donau;Bayern
NDH;Nordhausen;Thüringen
NE;Neuss;Nordrhein-Westfalen
NEA;Neustadt-Bad Windsheim/Aisch;Bayern
NEB;Nebra/Unstrut;Sachsen-Anhalt
NES;Rhön-Grabfeld in Bad Neustadt/Saale;Bayern
NEW;Neustadt/Waldnaab;Bayern
NF;Nordfriesland in Husum;Schleswig-Holstein
NH;Neuhaus/Rennsteig;Thüringen
NI;Nienburg/Weser;Niedersachsen
NK;Neunkirchen/Saar;Saarland
NL;Niedersachsen Landesregierung und Landtag;
NM;Neumarkt/Oberpfalz;Bayern
NMB;Naumburg/Saale;Sachsen-Anhalt
NMS;Neumünster;Schleswig-Holstein
NOH;Grafschaft Bentheim in Nordhorn;Niedersachsen
NOM;Northeim;Niedersachsen
NP;Neuruppin;Brandenburg
NR;Neuwied/Rhein;Rheinland-Pfalz
NRW;Nordrhein-Westfalen Landesregierung und Landtag;
NU;Neu-Ulm;Bayern
NW;Neustadt/Weinstrasse;Rheinland-Pfalz
NY;Niesky;Sachsen
NZ;Neustrelitz;Mecklenburg-Vorpommern
OA;Oberallgäu in Sonthofen;Bayern
OAL;Ostallgäu in Marktoberdorf;Bayern
OB;Oberhausen/Rheinland;Nordrhein-Westfalen
OBG;Osterburg;Sachsen-Anhalt
OC;Oschersleben;Sachsen-Anhalt
OD;Stormarn in Bad Oldesloe;Schleswig-Holstein
OE;Olpe;Nordrhein-Westfalen
OF;Offenbach/Main;Hessen
OG;Ortenaukreis in Offenburg;Baden-Württemberg
OH;Ostholstein in Eutin;Schleswig-Holstein
OHA;Osterode/Harz;Niedersachsen
OHV;Oberhavel;Brandenburg
OHZ;Osterholz-Scharmbeck;Niedersachsen
OL;Oldenburg;Niedersachsen
OPR;Ostprignitz-Ruppin;Brandenburg
OR;Oranienburg;Brandenburg
OS;Osnabrück;Niedersachsen
OSL;Oberspreewald-Lausitz;Brandenburg
OVL;Obervogtland in Klingenthal und Ölsnitz;Sachsen
OZ;Oschatz;Sachsen
P;Potsdam;Brandenburg
PA;Passau;Bayern
PAF;Pfaffenhofen/Ilm;Bayern
PAN;Rottal-Inn in Pfarrkirchen;Bayern
PB;Paderborn;Niedersachsen
PCH;Parchim;Mecklenburg-Vorpommern
PE;Peine;Niedersachsen
PER;Perleberg;Brandenburg
PF;Enzkreis und Pforzheim;Baden-Württemberg
PI;Pinneberg;Schleswig-Holstein
PIR;Pirna;Sachsen
PK;Pritzwalk;Brandenburg
PL;Plauen;Sachsen
PLÖ;Plön/Holstein;Schleswig-Holstein
PM;Potsdam-Mittelmark;Brandenburg
PN;Pössneck;Thüringen
PR;Prignitz;Brandenburg
PS;Pirmasens;Rheinland-Pfalz
PW;Pasewalk;Mecklenburg-Vorpommern
PZ;Prenzlau;Brandenburg
QFT;Querfurt;Sachsen-Anhalt
QLB;Quedlinburg;Sachsen-Anhalt
R;Regensburg;Bayern
RA;Rastatt;Baden-Württemberg
RC;Reichenbach/Vogtland;Sachsen
RD;Rendsburg-Eckernfoerde;Schleswig-Holstein
RDG;Ribnitz-Damgarten;Mecklenburg-Vorpommern
RE;Recklinghausen in Marl;Nordrhein-Westfalen
REG;Regen (Bayr. Wald) (Bay);
RH;Roth/Rednitz;Bayern
RIE;Riesa;Sachsen
RL;Rochlitz;Sachsen
RM;Röbel/Müritz;Mecklenburg-Vorpommern
RN;Rathenow;Brandenburg
RO;Rosenheim;Bayern
ROS;Rostock/Landkreis;Mecklenburg-Vorpommern
ROW;Rotenburg/Wümme;Niedersachsen
RPL;Rheinland-Pfalz Landesregierung und Landtag;
RS;Remscheid;Nordrhein-Westfalen
RSL;Rosslau/Elbe;Sachsen-Anhalt
RT;Reutlingen;Baden-Württemberg
RU;Rudolstadt;Thüringen
RÜD;Rheingau-Taunus-Kreis in Rüdesheim;Hessen
RÜG;Rügen in Bergen;Mecklenburg-Vorpommern
RV;Ravensburg;Baden-Württemberg
RW;Rottweil;Baden-Württemberg
RZ;Herzogtum Lauenburg in Ratzeburg;Schleswig-Holstein
S;Stuttgart;Baden-Württemberg
SAD;Schwandorf;Bayern
SAL;Saarland Landesregierung und Landtag;
SAW;Salzwedel;Sachsen-Anhalt
SB;Saarbrücken;Saarland
SBG;Strasburg;Mecklenburg-Vorpommern
SBK;Schönebeck/Elbe;Sachsen-Anhalt
SC;Schwabach;Bayern
SCZ;Schleiz;Thüringen
SDH;Sondershausen;Thüringen
SDL;Stendal;Sachsen-Anhalt
SDT;Schwedt/Oder;Brandenburg
SE;Bad Segeberg;Schleswig-Holstein
SEB;Sebnitz;Sachsen
SEE;Seelow;Brandenburg
SFA;Soltau-Fallingbostel;Niedersachsen
SFB;Senftenberg;Brandenburg
SFT;Stassfurt;Sachsen-Anhalt
SG;Solingen;Nordrhein-Westfalen
SGH;Sangerhausen;Sachsen-Anhalt
SH;Schleswig-Holstein Landesregierung und Landtag;
SHA;Schwäbisch Hall;Baden-Württemberg
SHG;Schaumburg in Stadthagen;Niedersachsen
SHL;Suhl;Thüringen
SI;Siegen;Nordrhein-Westfalen
SIG;Sigmaringen;Baden-Württemberg
SIM;Rhein-Hunsrück-Kreis in Simmern;Rheinland-Pfalz
SK;Saalkreis in Halle;Sachsen-Anhalt
SL;Schleswig-Flensburg;Schleswig-Holstein
SLF;Saalfeld;Thüringen
SLN;Schmölln;Thüringen
SLS;Saarlouis;Saarland
SLZ;Bad Salzungen;Thüringen
SM;Schmalkalden;Thüringen
SN;Schwerin;Mecklenburg-Vorpommern
SO;Söst;Nordrhein-Westfalen
SÖM;Sömmerda;Thüringen
SON;Sonneberg;Thüringen
SP;Speyer;Rheinland-Pfalz
SPB;Spremberg;Brandenburg
SPN;Spree-Neisse;Brandenburg
SR;Straubing-Bogen;Bayern
SRB;Strausberg;Brandenburg
SRO;Stadtroda;Thüringen
ST;Steinfurt;Nordrhein-Westfalen
STA;Starnberg;Bayern
STB;Sternberg;Mecklenburg-Vorpommern
STD;Stade;Niedersachsen
STL;Stollberg;Sachsen
SU;Rhein-Sieg-Kreis in Siegburg;Nordrhein-Westfalen
SÜW;Südl. Weinstrasse in Landau;Rheinland-Pfalz
SW;Schweinfurt;Bayern
SZ;Salzgitter;Niedersachsen
SZB;Schwarzenberg;Sachsen
TBB;Main-Tauber-Kreis in Tauberbischofsheim;Baden-Württemberg
TET;Teterow;Mecklenburg-Vorpommern
TF;Teltow-Fläming;Brandenburg
TG;Torgau;Sachsen
THL;Thüringen Landesregierung und Landtag;
TIR;Tirschenreuth;Bayern
TÖL;Bad Tölz-Wolfratshausen;Bayern
TP;Templin/Uckermark;Brandenburg
TR;Trier-Saarburg;Rheinland-Pfalz
TS;Traunstein;Bayern
TÜ;Tübingen;Baden-Württemberg
TUT;Tuttlingen;Baden-Württemberg
UE;Ülzen;Niedersachsen
UEM;Ückermünde;Mecklenburg-Vorpommern
UL;Alb-Donau-Kreis und Ulm;Baden-Württemberg
UM;Uckermark;Brandenburg
UN;Unna/Westfalen;Nordrhein-Westfalen
VB;Vogelsbergkreis in Lauterbach;Hessen
VEC;Vechta;Niedersachsen
VER;Verden/Aller;Niedersachsen
VIE;Viersen;Nordrhein-Westfalen
VK;Völklingen;Saarland
VS;Schwarzwald-Baar-Kreis in Villingen-Schwenningen;Baden-Württemberg
W;Wuppertal;Nordrhein-Westfalen
WAF;Warendorf;Nordrhein-Westfalen
WB;Wittenberg;Sachsen-Anhalt
WBS;Worbis;Thüringen
WDA;Werdau;Sachsen
WE;Weimar;Thüringen
WEN;Weiden/Oberpfalz;Bayern
WES;Wesel in Mörs;Nordrhein-Westfalen
WF;Wolfenbüttel;Niedersachsen
WHV;Wilhelmshaven;Niedersachsen
WI;Wiesbaden;Hessen
WIL;Bernkastel-Wittlich/Mosel;Rheinland-Pfalz
WIS;Wismar/Landkreis;Mecklenburg-Vorpommern
WK;Wittstock;Brandenburg
WL;Harburg in Winsen/Luhe;Niedersachsen
WLG;Wolgast/Usedom;Mecklenburg-Vorpommern
WM;Weilheim-Schongau/Oberbayern;Bayern
WMS;Wolmirstedt;Sachsen
WN;Rems-Murr-Kreis in Waiblingen;Baden-Württemberg
WND;St. Wendel;Saarland
WO;Worms;Rheinland-Pfalz
WOB;Wolfsburg;Niedersachsen
WR;Wernigerode;Sachsen-Anhalt
WRN;Waren/Müritz;Mecklenburg-Vorpommern
WSF;Weissenfels;Sachsen-Anhalt
WST;Ammerland in Westerstede;Niedersachsen
WSW;Weisswasser;Sachsen
WT;Waldshut-Tiengen;Baden-Württemberg
WTM;Wittmund;Niedersachsen
WÜ;Würzburg;Bayern
WUG;Weissenburg-Gunzenhausen;Bayern
WUN;Wunsiedel;Bayern
WUR;Wurzen;Sachsen
WW;Westerwald in Montabaur;Rheinland-Pfalz
WZL;Wanzleben;Sachsen-Anhalt
X;Bundeswehr für NATO-Hauptquartiere;
Y;Bundeswehr;
Z;Zwickau;Sachsen
ZE;Zerbst;Sachsen-Anhalt
ZI;Zittau;Sachsen
ZP;Zschopau;Sachsen
ZR;Zeulenroda;Thüringen
ZS;Zossen;Brandenburg
ZW;Zweibrücken;Rheinland-Pfalz
ZZ;Zeitz;Sachsen-Anhalt
